Model,Organization,Publication date,Domain,Confidence,Link,Reference,Authors,Organization categorization,Country (of organization),Notability criteria
Wan 2.1 14B,Alibaba,2025-02-25,"Video,Vision",confident,"https://huggingface.co/Wan-AI
https://huggingface.co/blog/LLMhacker/wanai-wan21
",Wan 2.1 by Wan AI :best cost efficient video generation model Now Available,Gemini Team,Industry,China,SOTA improvement
Claude 3.7 Sonnet,Anthropic,2025-02-24,"Language,Vision,Multimodal",likely,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet,Gemini Team,Industry,United States of America,Training cost
Grok-3,xAI,2025-02-17,"Language,Vision,Multimodal",confident,https://x.ai/blog/grok-3,Grok 3 Beta — The Age of Reasoning Agents,Gemini Team,Industry,United States of America,Training cost
Eurus-2-7B-PRIME,"Tsinghua University,University of Illinois Urbana-Champaign (UIUC),Shanghai AI Lab,Peking University,Shanghai Jiao Tong University,CUHK Shenzhen Research Institute",2025-02-03,Mathematics,speculative,https://arxiv.org/abs/2502.01456,Process Reinforcement through Implicit Rewards,"Ganqu Cui, Lifan Yuan, Zefan Wang, Hanbin Wang, Wendi Li, Bingxiang He, Yuchen Fan, Tianyu Yu, Qixin Xu, Weize Chen, Jiarui Yuan, Huayu Chen, Kaiyan Zhang, Xingtai Lv, Shuo Wang, Yuan Yao, Xu Han, Hao Peng, Yu Cheng, Zhiyuan Liu, Maosong Sun, Bowen Zhou, Ning Ding","Academia,Academia,Academia,Academia,Academia","China,United States of America,China,China,China,China",SOTA improvement
o3-mini,OpenAI,2025-01-31,Language,confident,https://openai.com/index/openai-o3-mini/,Pushing the frontier of cost-effective reasoning.,"Training
Brian Zhang, Eric Mitchell, Hongyu Ren, Kevin Lu, Max Schwarzer, Michelle Pokrass, Shengjia Zhao, Ted Sanders

Eval
Adam Kalai, Alex Tachard Passos, Ben Sokolowsky, Elaine Ya Le, Erik Ritter, Hao Sheng, Hanson Wang, Ilya Kostrikov, James Lee, Johannes Ferstad, Michael Lampe, Prashanth Radhakrishnan, Sean Fitzgerald, Sebastien Bubeck, Yann Dubois, Yu Bai

Frontier Evals & Preparedness
Andy Applebaum, Elizabeth Proehl, Evan Mays, Joel Parish, Kevin Liu, Leon Maksin, Leyton Ho, Miles Wang, Michele Wang, Olivia Watkins, Patrick Chao, Samuel Miserendino, Tejal Patwardhan

Engineering
Adam Walker, Akshay Nathan, Alyssa Huang, Andy Wang, Ankit Gohel, Ben Eggers, Brian Yu, Bryan Ashley, Chengdu Huang, Christian Hoareau, Davin Bogan, Emily Sokolova, Eric Horacek, Eric Jiang, Felipe Petroski Such, Jonah Cohen, Josh Gross, Justin Becker, Kan Wu, Kevin Whinnery, Larry Lv, Lee Byron, Manoli Liodakis, Max Johnson, Mike Trpcic, Murat Yesildal, Rasmus Rygaard, RJ Marsan, Rohit Ramchandani, Rohan Kshirsagar, Roman Huet, Sara Conlon, Shuaiqi (Tony) Xia, Siyuan Fu, Srinivas Narayanan, Sulman Choudhry, Tomer Kaftan, Trevor Creech

Search
Adam Fry, Adam Perelman, Brandon Wang, Cristina Scheau, Philip Pronin, Sundeep Tirumalareddy, Will Ellsworth, Zewei Chu

Product
Antonia Woodford, Beth Hoover, Jake Brill, Kelly Stirman, Minnia Feng, Neel Ajjarapu, Nick Turley, Nikunj Handa, Olivier Godement

Safety
Andrea Vallone, Andrew Duberstein, Enis Sert, Eric Wallace, Grace Zhao, Irina Kofman, Jieqi Yu, Joaquin Quinonero Candela, Madelaine Boyd, Mehmet Yatbaz, Mike McClay, Mingxuan Wang, Saachi Jain, Sandhini Agarwal, Sam Toizer, Santiago Hernández, Steve Mostovoy, Young Cha, Tao Li, Yunyun Wang

External Redteaming
Lama Ahmad, Troy Peterson


Research Program Managers
Carpus Chang, Kristen Ying

Leadership
Aidan Clark, Dane Stuckey, Jerry Tworek, Jakub Pachocki, Johannes Heidecke, Kevin Weil, Liam Fedus, Mark Chen, Sam Altman, Wojciech Zaremba",Industry,United States of America,Significant use
Computer-Using Agent (CUA),OpenAI,2025-01-23,"Vision,Language,Multimodal",confident,https://openai.com/index/computer-using-agent/,"Powering Operator with Computer-Using Agent, a universal interface for AI to interact with the digital world.",Gemini Team,Industry,United States of America,SOTA improvement
Kimi k1.5,Moonshot,2025-01-22,"Multimodal,Language,Vision",confident,https://arxiv.org/abs/2501.12599v1,Kimi k1.5: Scaling Reinforcement Learning with LLMs,"Kimi Team, Angang Du, Bofei Gao, Bowei Xing, Changjiu Jiang, Cheng Chen, Cheng Li, Chenjun Xiao, Chenzhuang Du, Chonghua Liao, Chuning Tang, Congcong Wang, Dehao Zhang, Enming Yuan, Enzhe Lu, Fengxiang Tang, Flood Sung, Guangda Wei, Guokun Lai, Haiqing Guo, Han Zhu, Hao Ding, Hao Hu, Hao Yang, Hao Zhang, Haotian Yao, Haotian Zhao, Haoyu Lu, Haoze Li, Haozhen Yu, Hongcheng Gao, Huabin Zheng, Huan Yuan, Jia Chen, Jianhang Guo, Jianlin Su, Jianzhou Wang, Jie Zhao, Jin Zhang, Jingyuan Liu, Junjie Yan, Junyan Wu, Lidong Shi, Ling Ye, Longhui Yu, Mengnan Dong, Neo Zhang, Ningchen Ma, Qiwei Pan, Qucheng Gong, Shaowei Liu, Shengling Ma, Shupeng Wei, Sihan Cao, Siying Huang, Tao Jiang, Weihao Gao, Weimin Xiong, Weiran He, Weixiao Huang, Wenhao Wu, Wenyang He, Xianghui Wei, Xianqing Jia, Xingzhe Wu, Xinran Xu, Xinxing Zu, Xinyu Zhou, Xuehai Pan, Y. Charles, Yang Li, Yangyang Hu, Yangyang Liu, Yanru Chen, Yejie Wang, Yibo Liu, Yidao Qin, Yifeng Liu, Ying Yang, Yiping Bao, Yulun Du, Yuxin Wu, Yuzhi Wang, Zaida Zhou, Zhaoji Wang, Zhaowei Li, Zhen Zhu, Zheng Zhang, Zhexu Wang, Zhilin Yang, Zhiqi Huang, Zihao Huang, Ziyao Xu, Zonghan Yang",Industry,China,SOTA improvement
Doubao-1.5-pro,ByteDance,2025-01-22,Language,confident,https://team.doubao.com/zh/special/doubao_1_5_pro,Doubao-1.5-pro,Gemini Team,Industry,China,Training cost
DeepSeek-R1,DeepSeek,2025-01-20,Language,confident,https://api-docs.deepseek.com/news/news250120,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,Gemini Team,Industry,China,"Training cost,SOTA improvement"
INTELLECT-MATH,Prime Intellect,2025-01-17,Mathematics,confident,"https://huggingface.co/PrimeIntellect/INTELLECT-MATH
https://www.primeintellect.ai/blog/intellect-math","INTELLECT-MATH: Frontier Mathematical Reasoning through Better Initializations for Reinforcement Learning
",Gemini Team,Industry,United States of America,SOTA improvement
DeepSeek-V3,DeepSeek,2024-12-24,Language,confident,https://arxiv.org/abs/2412.19437,DeepSeek-V3 Technical Report,"DeepSeek-AI, Aixin Liu, Bei Feng, Bing Xue, Bingxuan Wang, Bochao Wu, Chengda Lu, Chenggang Zhao, Chengqi Deng, Chenyu Zhang, Chong Ruan, Damai Dai, Daya Guo, Dejian Yang, Deli Chen, Dongjie Ji, Erhang Li, Fangyun Lin, Fucong Dai, Fuli Luo, Guangbo Hao, Guanting Chen, Guowei Li, H. Zhang, Han Bao, Hanwei Xu, Haocheng Wang, Haowei Zhang, Honghui Ding, Huajian Xin, Huazuo Gao, Hui Li, Hui Qu, J.L. Cai, Jian Liang, Jianzhong Guo, Jiaqi Ni, Jiashi Li, Jiawei Wang, Jin Chen, Jingchang Chen, Jingyang Yuan, Junjie Qiu, Junlong Li, Junxiao Song, Kai Dong, Kai Hu, Kaige Gao, Kang Guan, Kexin Huang, Kuai Yu, Lean Wang, Lecong Zhang, Lei Xu, Leyi Xia, Liang Zhao, Litong Wang, Liyue Zhang, Meng Li, Miaojun Wang, Mingchuan Zhang, Minghua Zhang, Minghui Tang, Mingming Li, Ning Tian, Panpan Huang, Peiyi Wang, Peng Zhang, Qiancheng Wang, Qihao Zhu, Qinyu Chen, Qiushi Du, R.J. Chen, R.L. Jin, Ruiqi Ge, Ruisong Zhang, Ruizhe Pan, Runji Wang, Runxin Xu, Ruoyu Zhang, Ruyi Chen, S.S. Li, Shanghao Lu, Shangyan Zhou, Shanhuang Chen, Shaoqing Wu, Shengfeng Ye, Shengfeng Ye, Shirong Ma, Shiyu Wang, Shuang Zhou, Shuiping Yu, Shunfeng Zhou, Shuting Pan, T. Wang, Tao Yun, Tian Pei, Tianyu Sun, W.L. Xiao, Wangding Zeng et al. (100 additional authors not shown)",Industry,China,Training cost
o3,OpenAI,2024-12-20,"Language,Vision,Multimodal",confident,https://openai.com/index/introducing-o3-and-o4-mini/,"Our most powerful reasoning model with leading performance on coding, math, science, and vision",Gemini Team,Industry,United States of America,Significant use
Veo 2,Google DeepMind,2024-12-16,Video,confident,https://deepmind.google/technologies/veo/veo-2/,Our state-of-the-art video generation model,"Agrim Gupta, Ali Razavi, Ankush Gupta, Dumitru Erhan, Eric Lau, Frank Belletti, Gabe Barth-Maron, Hakan Erdogan, Hakim Sidahmed, Henna Nandwani, Hernan Moraldo, Hyunjik Kim, Jeff Donahue, José Lezama, Kory Mathewson, Kurtis David, Marc van Zee, Medhini Narasimhan, Miaosen Wang, Mohammad Babaeizadeh, Nelly Papalampidi, Nick Pezzotti, Nilpa Jha, Parker Barnes, Pieter-Jan Kindermans, Rachel Hornung, Ruben Villegas, Ryan Poplin, Salah Zaiem, Sander Dieleman, Sayna Ebrahimi, Scott Wisdom, Serena Zhang, Shlomi Fruchter, Weizhe Hua, Xinchen Yan, Yuqing Du and Yutian Chen.",Industry,"United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational,Canada,France",SOTA improvement
Gemini 2.0 Pro,"Google DeepMind,Google",2024-12-11,"Language,Multimodal,Vision,Video,Audio",confident,https://deepmind.google/technologies/gemini/pro/,Our best model yet for coding performance and complex prompts,Gemini Team,"Industry,Industry","United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational,Canada,France,United States of America",Training cost
EXAONE 3.5 32B,LG AI Research,2024-12-09,Language,confident,https://arxiv.org/abs/2412.04862,EXAONE 3.5: Series of Large Language Models for Real-world Use Cases,"Soyoung An, Kyunghoon Bae, Eunbi Choi, Kibong Choi, Stanley Jungkyu Choi, Seokhee Hong, Junwon Hwang, Hyojin Jeon, Gerrard Jeongwon Jo, Hyunjik Jo, Jiyeon Jung, Yountae Jung, Hyosang Kim, Joonkee Kim, Seonghwan Kim, Soyeon Kim, Sunkyoung Kim, Yireun Kim, Yongil Kim, Youchul Kim, Edward Hwayoung Lee, Haeju Lee, Honglak Lee, Jinsik Lee, Kyungmin Lee, Woohyung Lim, Sangha Park, Sooyoun Park, Yongmin Park, Sihoon Yang, Heuiyeen Yeen, Hyeongu Yun",Industry,Korea (Republic of),Training cost
Llama 3.3 70B,Meta AI,2024-12-06,Language,confident,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_3/,Meta Llama 3.3 multilingual large language model (LLM) ,Gemini Team,Industry,United States of America,Training cost
o1,OpenAI,2024-12-05,"Language,Mathematics,Multimodal",confident,https://openai.com/index/introducing-chatgpt-pro/,Introducing ChatGPT Pro: Broadening usage of frontier AI.,Gemini Team,Industry,United States of America,"SOTA improvement,Significant use"
Infinity,ByteDance,2024-12-05,Image generation,confident,https://arxiv.org/html/2412.04431v1,Infinity∞: Scaling Bitwise AutoRegressive Modeling for High-Resolution Image Synthesis,"Jian Han, Jinlai Liu, Yi Jiang, Bin Yan, Yuqi Zhang, Zehuan Yuan, Bingyue Peng, Xiaobing Liu",Industry,China,SOTA improvement
Amazon Nova Pro,Amazon,2024-12-03,"Multimodal,Language,Video",speculative,https://aws.amazon.com/es/blogs/aws/introducing-amazon-nova-frontier-intelligence-and-industry-leading-price-performance/,Introducing Amazon Nova foundation models: Frontier intelligence and industry leading price performance,Gemini Team,Industry,United States of America,SOTA improvement
Fugatto 1,NVIDIA,2024-11-25,"Multimodal,Language,Audio",confident,https://research.nvidia.com/publication/2024-11_fugatto-1-foundational-generative-audio-transformer-opus-1,"Fugatto 1 - Foundational Generative Audio Transformer Opus 1
","Rafael Valle, Rohan Badlani, Zhifeng Kong, Sang-gil Lee, Arushi Goel, Sungwon Kim,
Joao Felipe Santos, Shuqi Dai, Siddharth Gururani, Aya AlJa'fari, Alex Liu, Kevin Shih, Wei Ping, Bryan Catanzaro
",Industry,United States of America,SOTA improvement
Suno v4,Suno,2024-11-19,Audio,confident,https://suno.com/blog/v4,Introducing v4,Team Suno,Industry,United States of America,Significant use
Pixtral Large,Mistral AI,2024-11-18,Multimodal,confident,https://mistral.ai/news/pixtral-large/,Pixtral Large,Mistral AI Team,Industry,France,"Significant use,SOTA improvement"
k0-math,Moonshot,2024-11-16,Mathematics,confident,https://web.archive.org/web/20250124103542/https://www.globaltimes.cn/page/202411/1323248.shtml,Chinese AI start-up unveils latest reasoning model comparable to OpenAI o1 series,Gemini Team,Industry,China,SOTA improvement
Hunyuan-Large,Tencent,2024-11-06,Language,confident,https://arxiv.org/abs/2411.02265,Hunyuan-Large: An Open-Source MoE Model with 52 Billion Activated Parameters by Tencent,"Xingwu Sun, Yanfeng Chen, Yiqing Huang, Ruobing Xie, Jiaqi Zhu, Kai Zhang, Shuaipeng Li, Zhen Yang, Jonny Han, Xiaobo Shu, Jiahao Bu, Zhongzhi Chen, Xuemeng Huang, Fengzong Lian,
Saiyong Yang, Jianfeng Yan, Yuyuan Zeng, Xiaoqin Ren, Chao Yu, Lulu Wu, Yue Mao, Jun Xia, Tao Yang, Suncong Zheng, Kan Wu, Dian Jiao, Jinbao Xue, Xipeng Zhang, Decheng Wu, Kai Liu, Dengpeng Wu, Guanghui Xu, Shaohua Chen, Shuang Chen, Xiao Feng, Yigeng Hong, Junqiang Zheng, Chengcheng Xu, Zongwei Li, Xiong Kuang, Jianglu Hu, Yiqi Chen, Yuchi Deng, Guiyang Li, Ao Liu, Chenchen Zhang, Shihui Hu, Zilong Zhao, Zifan Wu, Yao Ding, Weichao Wang, Han Liu, Roberts Wang, Hao Fei, Peijie Yu, Ze Zhao, Xun Cao, Hai Wang, Fusheng Xiang, Mengyuan Huang, Zhiyuan Xiong, Bin Hu, Xuebin Hou, Lei Jiang, Jianqiang Ma, Jiajia Wu, Yaping Deng, Yi Shen, Qian Wang, Weijie Liu, Jie Liu, Meng Chen, Liang Dong, Weiwen Jia, Hu Chen, Feifei Liu, Rui Yuan, Huilin Xu, Zhenxiang Yan, Tengfei Cao, Zhichao Hu, Xinhua Feng, Dong Du, Tinghao Yu, Yangyu Tao, Feng Zhang, Jianchen Zhu, Chengzhong Xu, Xirui Li, Chong Zha, Wen Ouyang, Yinben Xia, Xiang Li, Zekun He, Rongpeng Chen, Jiawei Song, Ruibin Chen, Fan Jiang, Chongqing Zhao, Bo Wang, Hao Gong, Rong Gan, Winston Hu, Zhanhui Kang, Yong Yang, Yuhong Liu, Di Wang, and Jie Jiang.
",Industry,China,Training cost
Doubao-pro,ByteDance,2024-10-28,Language,speculative,https://www.volcengine.com/docs/6360/1264663,Doubao General Model Pro (Doubao-pro),Gemini Team,Industry,China,Training cost
NVLM-X 72B,NVIDIA,2024-10-22,"Vision,Language",likely,https://arxiv.org/abs/2409.11402,NVLM: Open Frontier-Class Multimodal LLMs,"Wenliang Dai, Nayeon Lee, Boxin Wang, Zhuolin Yang, Zihan Liu, Jon Barker, Tuomas Rintamaki, Mohammad Shoeybi, Bryan Catanzaro, Wei Ping",Industry,United States of America,Training cost
NVLM-H 72B,NVIDIA,2024-10-22,"Vision,Language",likely,https://arxiv.org/abs/2409.11402,NVLM: Open Frontier-Class Multimodal LLMs,"Wenliang Dai, Nayeon Lee, Boxin Wang, Zhuolin Yang, Zihan Liu, Jon Barker, Tuomas Rintamaki, Mohammad Shoeybi, Bryan Catanzaro, Wei Ping",Industry,United States of America,Training cost
NVLM-D 72B,NVIDIA,2024-10-22,"Vision,Language",confident,https://arxiv.org/abs/2409.11402,NVLM: Open Frontier-Class Multimodal LLMs,"Wenliang Dai, Nayeon Lee, Boxin Wang, Zhuolin Yang, Zihan Liu, Jon Barker, Tuomas Rintamaki, Mohammad Shoeybi, Bryan Catanzaro, Wei Ping",Industry,United States of America,SOTA improvement
Yi-Lightning,01.AI,2024-10-18,Language,confident,https://www.lingyiwanwu.com/en https://platform.lingyiwanwu.com/,Yi-Lightning,Gemini Team,Industry,China,Training cost
CHAI-1,Chai discovery,2024-10-15,Biology,confident,"https://www.chaidiscovery.com/blog/introducing-chai-1
https://www.biorxiv.org/content/10.1101/2024.10.10.615955v2",Introducing Chai-1: Decoding the molecular interactions of life,"Jacques Boitreaud, Jack Dent, Matthew McPartlon, Joshua Meier, Vinicius Reis, Alex Rogozhnikov, Kevin Wu",Industry,United States of America,SOTA improvement
Palmyra X 004,Writer,2024-10-09,Language,confident,https://writer.com/engineering/actions-with-palmyra-x-004/,Introducing actions with Palmyra X 004,Sam Julien / Writer,Industry,United States of America,SOTA improvement
GR-2,ByteDance,2024-10-08,Robotics,confident,https://arxiv.org/html/2410.06158v1,GR-2: A Generative Video-Language-Action Model with Web-Scale Knowledge for Robot Manipulation,"Hang Li, Yifeng Li, Yuxiao Liu, Hongtao Wu, Jiafeng Xu, Yichu Yang, Hanbo Zhang, Minzhao Zhu",Industry,China,SOTA improvement
